Respondent ID,Collector ID,Start Date,End Date,Custom Data 1,Would you like to participate in this survey? Please select yes or no and click next.,"Which of the following best describes your current role in your school district or charter school system (referred to as a local education agency, or LEA)?Please select only one answer.","In total, how many years have you served in this role for this LEA? Please provide a number in the box below.","Including all schools, approximately, how many K-12 students were enrolled in your LEA in school year 2018-19?Please select only one answer.",How many school board meetings have you attended during the 2018-19 school year (including only full school board meetings that are open to the public)?Please select only one answer.,"Thinking about the school board meetings in which you have participated this school year (2018–19), how often did your school board focus on the following topic areas or activities?Please select one answer in each row.",,,,,,,Has your school board developed and adopted a vision for the LEA?Please select only one answer.,Has your school board adopted goals related to student outcomes that are currently being used?Please select only one answer.,How many goals related to student outcomes does your school board have in place for the 2018–19 school year? Please provide a number in the box below.,"In the text boxes below, please provide examples of two of the goals related to student outcomes that the school board has in place for the 2018-19 school year.",,"Thinking about the total amount of time spent in all Board-authorized public meetings together in 2018-19, approximately what percentage of time has been spent setting or monitoring goals related to student outcomes?Please select only one answer.",What is your assessment of the amount of time your school board has spent setting and/or monitoring goals related to student outcomes in 2018-19?Please select only one answer.,"In 2018-19, to what extent is the superintendent’s performance evaluation based on the LEA’s progress on achieving student outcome goals?","In 2018-19, to what extent have the following groups of stakeholders provided input to the school board regarding development of goals or vision?",,,,,,,,,To what extent do you agree or disagree with the following statements regarding school board discussions?Please select one answer in each row.,,,How often does your school board engage in the following monitoring activities?Please select one answer in each row.,,,To what extent do you agree or disagree with the following statements about operating procedures of the school board and superintendent?Please select one answer in each row.,,,,,,,Have you completed the Lone Star Governance (LSG) workshop training?Please select only one answer.,How many school board members from your LEA have received training on LSG?Please select only one answer. ,To what extent do you agree or disagree with the following statements regarding LSG?Please select one answer in each row.,,,,,,,
10813067816,236394773,6/21/2019 5:08,6/21/2019 5:22,,"Yes, I agree to participate.",School Board Member,4,"Less than 1,000",More than 12,In a few meetings,In every meeting,In most meetings,In most meetings,In a few meetings,In every meeting,In a few meetings,Yes,Yes,3,,,51-75%,About the right amount of time,"Mostly, but other measures are also considered.",Substantial Input,Substantial Input,Limited Input,Substantial Input,No Input,No Input,No Input,Substantial Input,TEA Conservator,Strongly Agree,Strongly Agree,Agree,Monthly,Bi-Annually,Monthly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,Strongly Disagree,Yes,Some,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree
10812461241,236394063,6/20/2019 21:00,6/20/2019 21:02,,"Yes, I agree to participate.",School Board Member,8,"5,000-14,999",More than 12,In every meeting,In every meeting,In most meetings,In most meetings,In a few meetings,In every meeting,In every meeting,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10812204750,236401834,6/20/2019 18:33,6/20/2019 18:39,,"Yes, I agree to participate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10811756219,236390593,6/19/2019 19:26,6/20/2019 15:02,,"Yes, I agree to participate.",School Board Member,24,"50,000 or more",More than 12,In every meeting,In every meeting,In every meeting,In a few meetings,In a few meetings,In a few meetings,In every meeting,Yes,Yes,10,Third grade reading scores will increase by 3%,Eighth grade algebra scores will increase by 2%,0-25%,Not enough time,"Mostly, but other measures are also considered.",No Input,No Input,No Input,No Input,No Input,No Input,No Input,No Input,,Agree,Disagree,Agree,Quarterly,Quarterly,Bi-Annually,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Yes,All,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree
10811724970,236388155,6/20/2019 14:34,6/20/2019 14:46,,"Yes, I agree to participate.",Superintendent,4,"Less than 1,000",More than 12,In a few meetings,In every meeting,In every meeting,In a few meetings,In a few meetings,In every meeting,In a few meetings,Yes,Yes,3,,,0-25%,Not enough time,"Mostly, but other measures are also considered.",Substantial Input,Substantial Input,Substantial Input,No Input,Limited Input,Limited Input,Limited Input,,,Agree,Agree,Agree,Bi-Annually,Annually,Quarterly,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Yes,Some,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree
10811576536,238233579,6/20/2019 13:31,6/20/2019 13:41,,"Yes, I agree to participate.",School Board Member,2,"15,000-49,999",More than 12,In most meetings,In most meetings,In every meeting,In most meetings,In a few meetings,In most meetings,In every meeting,No,Yes,5,increase AP/ IB student participation,increase SAT/ACT college ready performance,0-25%,Not enough time,Not at all.,Substantial Input,Moderate Input,Moderate Input,Moderate Input,Limited Input,Limited Input,Limited Input,,,Agree,Strongly Agree,Disagree,Don't Know,Don't Know,Quarterly,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,,,,,,,,,
10810943991,236403260,6/20/2019 9:34,6/20/2019 9:42,,"Yes, I agree to participate.",School Board Member,,"5,000-14,999",More than 12,In no meetings,In a few meetings,In every meeting,In a few meetings,In a few meetings,In every meeting,In every meeting,Yes,Yes,,,,51-75%,About the right amount of time,Entirely,Limited Input,Substantial Input,Substantial Input,Substantial Input,Substantial Input,Substantial Input,Substantial Input,,,Strongly Agree,Strongly Agree,Strongly Agree,Monthly,Bi-Annually,Monthly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Not Applicable,Yes,All,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
10809965577,236397971,6/20/2019 0:56,6/20/2019 1:16,,"Yes, I agree to participate.",School Board Member,6,"Less than 1,000",10,In a few meetings,In a few meetings,In every meeting,In a few meetings,In a few meetings,In every meeting,In a few meetings,Yes,Yes,3,"Percentage of students reading on or above grade level will increase from 43% to 70% by August 31, 2021.","Percentage of graduates who have earned any one of the following: college credit qualifying score on the SAT, ACT, TSI, earned college credit through dual credit classes, received an industry certification, or other CCMR college readiness marker will increase from 39% to 57% by August 31, 2021. Domain 1 & 3 ",26-50%,About the right amount of time,"Mostly, but other measures are also considered.",Substantial Input,Substantial Input,Moderate Input,No Input,Limited Input,Limited Input,Moderate Input,No Input,,Strongly Agree,Strongly Agree,Agree,Monthly,Quarterly,Monthly,Agree,Agree,Strongly Agree,Strongly Agree,Not Applicable,Agree,Not Applicable,Yes,All,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
10809732068,236390593,6/19/2019 22:28,6/19/2019 22:35,,"Yes, I agree to participate.",School Board Member,9,"50,000 or more",More than 12,In most meetings,In most meetings,In every meeting,In most meetings,In a few meetings,In most meetings,In every meeting,Yes,Yes,3,"Career, college and military preparedness ",Middle years math,51-75%,Not enough time,"Mostly, but other measures are also considered.",Limited Input,Limited Input,Limited Input,Limited Input,Limited Input,Limited Input,Limited Input,No Input,,Agree,Disagree,Agree,Quarterly,Quarterly,Quarterly,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Yes,Some,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Not Applicable,Not Applicable
10809695309,236397971,6/19/2019 22:00,6/19/2019 22:49,,"Yes, I agree to participate.",School Board Member,12,"Less than 1,000",12,In most meetings,In most meetings,In every meeting,In a few meetings,In a few meetings,In every meeting,In a few meetings,Yes,Yes,3,"Percentage of graduates who have earned any one of the following : College credit qualifying score on the SAT,ACT,TSI,earned college credit through dual credit classes will increase from 39% to 57% by August 31,2021.","Percentage of students reading on or above grade level will increase from 43% to 70% by August 31,2021.",76-100%,Too much time,"Mostly, but other measures are also considered.",Moderate Input,Substantial Input,Limited Input,No Input,Limited Input,Limited Input,Limited Input,,,Strongly Agree,Strongly Agree,Agree,Monthly,Bi-Annually,Quarterly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Yes,All,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
10809677698,238382472,6/19/2019 21:44,6/19/2019 21:47,,"Yes, I agree to participate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10809675706,236402532,6/19/2019 21:38,6/19/2019 22:31,,"Yes, I agree to participate.",School Board Member,33,"1,000-4,999",More than 12,In a few meetings,In most meetings,In most meetings,In a few meetings,In a few meetings,In most meetings,In most meetings,Yes,Yes,3,The focus on early literacy providing quality instruction and resources starting in PK to ensure that all students read on grade level as measured by the STAAR and EOC state assessments.,The focus on early Mathematics providing quality instruction and resources starting in PK to ensure that all students perform on grade level as measured by the STAAR and EOC state assessment.,26-50%,Not enough time,"Mostly, but other measures are also considered.",Limited Input,Substantial Input,Limited Input,No Input,Limited Input,Limited Input,No Input,No Input,,Agree,Disagree,Agree,Quarterly,Annually,Bi-Annually,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Yes,Some,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
10809667088,238382472,6/19/2019 21:39,6/19/2019 22:03,,"Yes, I agree to participate.",School Board Member,,,12,In a few meetings,In most meetings,In most meetings,In most meetings,In a few meetings,In every meeting,In every meeting,Yes,Yes,,,,26-50%,About the right amount of time,Entirely,Substantial Input,Substantial Input,Moderate Input,Moderate Input,Moderate Input,Limited Input,Moderate Input,,,Agree,Agree,Disagree,Monthly,Bi-Annually,Quarterly,Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Yes,All,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
10809633071,236388803,6/19/2019 21:10,6/19/2019 21:13,,"No, I do not wish to participate in the survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10809334089,238382472,6/19/2019 18:01,6/19/2019 20:01,,"Yes, I agree to participate.",School Board Member,0,"5,000-14,999",2,In every meeting,In every meeting,In every meeting,In every meeting,In every meeting,In every meeting,In every meeting,Yes,Yes,3,,,51-75%,About the right amount of time,,,,,,,,,,,Agree,Agree,Agree,Quarterly,Don't Know,Don't Know,Not Applicable,Not Applicable,Strongly Disagree,Agree,Disagree,Agree,Agree,Yes,All,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
10809230588,236389955,6/19/2019 17:04,6/19/2019 17:09,,"Yes, I agree to participate.",School Board Member,11,"50,000 or more",More than 12,In every meeting,In every meeting,In every meeting,In a few meetings,In a few meetings,In every meeting,In most meetings,Yes,Yes,4,Student achievement on state assessments in all subjects at Approaches or above will increase from 66 percent to 75 percent by 2022.,Student achievement on the third-grade state assessment in reading at Approaches or above will increase from 62 percent to 75 percent by 2022.,0-25%,Not enough time,"Mostly, but other measures are also considered.",Substantial Input,Substantial Input,Moderate Input,Limited Input,Moderate Input,Moderate Input,Moderate Input,,,Agree,Agree,Agree,Monthly,Monthly,Monthly,Not Applicable,Not Applicable,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Yes,Some,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
10808968561,236402532,6/19/2019 15:25,6/19/2019 15:43,,"Yes, I agree to participate.",School Board Member,20,"1,000-4,999",More than 12,In a few meetings,In most meetings,In every meeting,In most meetings,In a few meetings,In most meetings,In a few meetings,Yes,Yes,3,By school year 2020-2021 85% of all 2nd grade students will be reading on grade level,By school year 2020-2021 65% of 4th grade students will score grade level equivalency as measured by 4th grade STAAR writing assessment.                       ,26-50%,Not enough time,"Mostly, but other measures are also considered.",Substantial Input,Substantial Input,No Input,No Input,No Input,No Input,No Input,,,Agree,Agree,Agree,Quarterly,Don't Know,Don't Know,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Yes,Some,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
10808948698,236404774,6/19/2019 15:21,6/19/2019 15:23,,"Yes, I agree to participate.",Superintendent,6,"15,000-49,999",More than 12,In a few meetings,In most meetings,In every meeting,In a few meetings,In a few meetings,In every meeting,In a few meetings,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10808852083,236390868,6/19/2019 14:39,6/19/2019 14:45,,"Yes, I agree to participate.",Superintendent,5,"15,000-49,999",More than 12,In a few meetings,In most meetings,In every meeting,In a few meetings,In a few meetings,In most meetings,In most meetings,Yes,Yes,3,Percentage of students performance on ISIP,Percentage passing of all grades tested,51-75%,About the right amount of time,Entirely,Substantial Input,Substantial Input,Moderate Input,Moderate Input,Moderate Input,Moderate Input,Moderate Input,,,Agree,Agree,Agree,Monthly,Bi-Annually,Quarterly,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Yes,All,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
10808718652,236388803,6/19/2019 13:43,6/19/2019 13:56,,"Yes, I agree to participate.",School Board Member,30 years,"1,000-4,999",12,In most meetings,In every meeting,In every meeting,In most meetings,In a few meetings,In every meeting,In every meeting,Yes,Yes,5,,,26-50%,About the right amount of time,"Mostly, but other measures are also considered.",Moderate Input,Substantial Input,Substantial Input,Moderate Input,Moderate Input,Limited Input,Substantial Input,Limited Input,,Strongly Agree,Strongly Agree,Agree,Monthly,Bi-Annually,Monthly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Yes,All,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
10806062592,238230716,6/18/2019 16:01,6/18/2019 16:06,,"Yes, I agree to participate.",Superintendent,6,"5,000-14,999",More than 12,In most meetings,In a few meetings,In a few meetings,In a few meetings,In a few meetings,In a few meetings,In every meeting,Yes,Yes,4,increase reading mastery,increase writing mastery,0-25%,Not enough time,"Somewhat, but other measures are more important.",Moderate Input,Substantial Input,Limited Input,No Input,Limited Input,Limited Input,Limited Input,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Quarterly,Annually,Annually,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,No,,,,,,,,,
10805954275,236388155,6/18/2019 15:23,6/18/2019 15:24,,"Yes, I agree to participate.",School Board Member,4,"Less than 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10805885576,238025682,6/18/2019 14:57,6/18/2019 15:18,,"Yes, I agree to participate.",School Board Member,currently in my 7th year of  service,"15,000-49,999",More than 12,In a few meetings,In a few meetings,In most meetings,In a few meetings,In a few meetings,In most meetings,In no meetings,Yes,Yes,3,students in 3rd grade will demonstrate a 2% gain in Reading from the prior year.,Students in 5th grade will demonstrate a 2% gain in Math from the prior year.,26-50%,Not enough time,"Mostly, but other measures are also considered.",Substantial Input,Substantial Input,Limited Input,Limited Input,No Input,No Input,No Input,,,Strongly Agree,Agree,Agree,Quarterly,Bi-Annually,Bi-Annually,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Yes,All,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
10805782789,238025682,6/18/2019 14:20,6/18/2019 14:28,,"Yes, I agree to participate.",School Board Member,1,"15,000-49,999",12,In most meetings,In every meeting,In most meetings,In most meetings,In no meetings,In most meetings,In no meetings,Yes,No,,,,,,,Limited Input,Moderate Input,Limited Input,Limited Input,Limited Input,Limited Input,No Input,,,Strongly Agree,Agree,Disagree,Annually,Annually,Don't Know,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Yes,All,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
10805655555,238186035,6/18/2019 13:34,6/18/2019 14:07,,"Yes, I agree to participate.",School Board Member,10 years,"Less than 1,000",More than 12,In a few meetings,In every meeting,In a few meetings,In a few meetings,In a few meetings,In a few meetings,In a few meetings,Yes,Yes,3,Increase student reading  level from 26% to 80 % by 2021 ,Increase student math level from 23% to 80% by 2021,26-50%,Not enough time,"Mostly, but other measures are also considered.",Substantial Input,Limited Input,Limited Input,Limited Input,Limited Input,Limited Input,Limited Input,,,Strongly Agree,Strongly Agree,Disagree,Quarterly,Quarterly,Annually,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Yes,All,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree
10805619174,236403076,6/18/2019 13:20,6/18/2019 13:43,,"Yes, I agree to participate.",School Board Member,20,"1,000-4,999",More than 12,In most meetings,In every meeting,In every meeting,In a few meetings,In no meetings,In most meetings,In most meetings,Yes,Yes,5 or more,To make sure all the students be successful on STAAR,Making sure the students felt safe in learning.,26-50%,About the right amount of time,"Mostly, but other measures are also considered.",Moderate Input,Moderate Input,Moderate Input,Limited Input,Moderate Input,Moderate Input,Substantial Input,,,Strongly Agree,Strongly Agree,Strongly Agree,Don't Know,Annually,Monthly,Not Applicable,Agree,Strongly Agree,Agree,Not Applicable,Not Applicable,Agree,Yes,All,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
10805013097,238186035,6/18/2019 9:43,6/18/2019 10:21,,"Yes, I agree to participate.",School Board Member,9,"Less than 1,000",4,In a few meetings,In every meeting,In most meetings,In a few meetings,In a few meetings,In most meetings,In every meeting,Yes,Yes,3,Reading Goal (Pre-K-2) The percentage of students in grades Pre-K who are/reading/listening/comprehending on or above grade level using multiple measures will increase from 26% to 80% by the end of 2021,"Goal 2: Math and Reading Goal (grades 3-8) The percentage of students in grades 3-8 who reaches the ""Meets"" level on both reading and math will increase from 23%  in 2017 to 80% by the end of 2021.",51-75%,About the right amount of time,"Somewhat, but other measures are more important.",Substantial Input,Substantial Input,Substantial Input,Substantial Input,Limited Input,,Substantial Input,,,Strongly Agree,Strongly Agree,Strongly Agree,Monthly,Monthly,Monthly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Not Applicable,Yes,All,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
10804691013,236400211,6/18/2019 7:35,6/18/2019 7:45,,"Yes, I agree to participate.",School Board Member,7,"Less than 1,000",More than 12,In most meetings,In every meeting,In every meeting,In most meetings,In a few meetings,In every meeting,In most meetings,Yes,Yes,3,,,26-50%,About the right amount of time,"Mostly, but other measures are also considered.",Substantial Input,,Moderate Input,Limited Input,Limited Input,Limited Input,,,,Strongly Agree,Strongly Agree,Strongly Agree,Monthly,Monthly,Monthly,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Yes,All,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree
10803952819,236401834,6/17/2019 22:49,6/17/2019 23:24,,"Yes, I agree to participate.",School Board Member,1 month,"15,000-49,999",1,In most meetings,In every meeting,In most meetings,In most meetings,In most meetings,In a few meetings,In every meeting,Yes,Yes,,,,0-25%,Not enough time,"Somewhat, but other measures are more important.",Limited Input,Limited Input,No Input,No Input,No Input,No Input,No Input,No Input,,Agree,Agree,Agree,Don't Know,Don't Know,Don't Know,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Yes,I don't know,Not Applicable,Strongly Agree,Not Applicable,Strongly Agree,Agree,Not Applicable,Not Applicable,Strongly Agree
10803877209,236403260,6/17/2019 21:52,6/17/2019 22:05,,"Yes, I agree to participate.",School Board Member,3,"15,000-49,999",More than 12,In a few meetings,In a few meetings,In a few meetings,In a few meetings,In a few meetings,In most meetings,In every meeting,Yes,Yes,3,Percentage of K to 2nd grade students reading on grade level will increase from 64 percent to 90 percent by 2023,"Percentage of high school students graduating as college, career or military ready will increase from 51 percent to 80 percent by 2023",26-50%,Not enough time,Entirely,Substantial Input,Substantial Input,Moderate Input,Moderate Input,Moderate Input,Moderate Input,Moderate Input,Limited Input,,Disagree,Agree,Agree,Monthly,Quarterly,Monthly,Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Yes,All,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
10803829620,236394773,6/17/2019 21:10,6/17/2019 21:22,,"Yes, I agree to participate.",School Board Member,Three,"Less than 1,000",11,In most meetings,In a few meetings,In every meeting,In a few meetings,In a few meetings,In every meeting,In a few meetings,,Yes,Three,,,26-50%,About the right amount of time,"Mostly, but other measures are also considered.",Substantial Input,,Moderate Input,,Limited Input,Limited Input,Limited Input,,,Agree,Strongly Agree,Disagree,,Quarterly,Bi-Annually,Disagree,Agree,Agree,Strongly Agree,Not Applicable,Agree,Strongly Disagree,Yes,All,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Disagree
10803558660,236400038,6/17/2019 18:08,6/17/2019 18:15,,"Yes, I agree to participate.",School Board Member,6,"15,000-49,999",More than 12,In most meetings,In a few meetings,In every meeting,In most meetings,In most meetings,In most meetings,In no meetings,Yes,Yes,4,Reading on grade level by 3rd,Spend 50% of meeting on student outcome ,26-50%,Too much time,"Mostly, but other measures are also considered.",Substantial Input,Moderate Input,Limited Input,Moderate Input,Limited Input,Limited Input,Limited Input,,,Agree,,Disagree,Monthly,Monthly,Monthly,Agree,Agree,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Not Applicable,Yes,All,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
10803475392,238024403,6/17/2019 17:18,6/17/2019 17:23,,"Yes, I agree to participate.",Superintendent,7,"Less than 1,000",,In a few meetings,In most meetings,In every meeting,In a few meetings,In no meetings,In every meeting,In a few meetings,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803431183,236403260,6/17/2019 16:54,6/17/2019 17:07,,"Yes, I agree to participate.",School Board Member,3 years,"5,000-14,999",More than 12,In a few meetings,In most meetings,In every meeting,In most meetings,In a few meetings,In most meetings,In most meetings,Yes,Yes,4,CCMR,ELA IMPROVEMENT GOALS,0-25%,About the right amount of time,"Mostly, but other measures are also considered.",Moderate Input,Moderate Input,Limited Input,Moderate Input,Moderate Input,Moderate Input,Moderate Input,,,Agree,Agree,Agree,Monthly,Quarterly,Monthly,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Yes,All,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
10802823848,236394399,6/17/2019 12:29,6/17/2019 12:29,,"Yes, I agree to participate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10802747899,236404294,6/17/2019 11:55,6/17/2019 12:01,,"Yes, I agree to participate.",School Board Member,4,"Less than 1,000",7,In every meeting,In every meeting,In most meetings,In a few meetings,In most meetings,In a few meetings,In a few meetings,No,No,,,,,,,Moderate Input,No Input,No Input,No Input,No Input,No Input,No Input,No Input,,Agree,Agree,Agree,Don't Know,Don't Know,Don't Know,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Yes,,,,,,,,,
